"1","11","1101","Madeira-Guaporé"
"1","11","1102","Leste Rondoniense"
"1","12","1201","Vale do Juruá"
"1","12","1202","Vale do Acre"
"1","13","1301","Norte Amazonense"
"1","13","1302","Sudoeste Amazonense"
"1","13","1303","Centro Amazonense"
"1","13","1304","Sul Amazonense"
"1","14","1401","Norte de Roraima"
"1","14","1402","Sul de Roraima"
"1","15","1501","Baixo Amazonas"
"1","15","1502","Marajó"
"1","15","1503","Metropolitana de Belém"
"1","15","1504","Nordeste Paraense"
"1","15","1505","Sudoeste Paraense"
"1","15","1506","Sudeste Paraense"
"1","16","1601","Norte do Amapá"
"1","16","1602","Sul do Amapá"
"1","17","1701","Ocidental do Tocantins"
"1","17","1702","Oriental do Tocantins"
"2","21","2101","Norte Maranhense"
"2","21","2102","Oeste Maranhense"
"2","21","2103","Centro Maranhense"
"2","21","2104","Leste Maranhense"
"2","21","2105","Sul Maranhense"
"2","22","2201","Norte Piauiense"
"2","22","2202","Centro-Norte Piauiense"
"2","22","2203","Sudoeste Piauiense"
"2","22","2204","Sudeste Piauiense"
"2","23","2301","Noroeste Cearense"
"2","23","2302","Norte Cearense"
"2","23","2303","Metropolitana de Fortaleza"
"2","23","2304","Sertões Cearenses"
"2","23","2305","Jaguaribe"
"2","23","2306","Centro-Sul Cearense"
"2","23","2307","Sul Cearense"
"2","24","2401","Oeste Potiguar"
"2","24","2402","Central Potiguar"
"2","24","2403","Agreste Potiguar"
"2","24","2404","Leste Potiguar"
"2","25","2501","Sertão Paraibano"
"2","25","2502","Borborema"
"2","25","2503","Agreste Paraibano"
"2","25","2504","Mata Paraibana"
"2","26","2601","Sertão Pernambucano"
"2","26","2602","São Francisco Pernambucano"
"2","26","2603","Agreste Pernambucano"
"2","26","2604","Mata Pernambucana"
"2","26","2605","Metropolitana de Recife"
"2","27","2701","Sertão Alagoano"
"2","27","2702","Agreste Alagoano"
"2","27","2703","Leste Alagoano"
"2","28","2801","Sertão Sergipano"
"2","28","2802","Agreste Sergipano"
"2","28","2803","Leste Sergipano"
"2","29","2901","Extremo Oeste Baiano"
"2","29","2902","Vale São-Franciscano da Bahia"
"2","29","2903","Centro Norte Baiano"
"2","29","2904","Nordeste Baiano"
"2","29","2905","Metropolitana de Salvador"
"2","29","2906","Centro Sul Baiano"
"2","29","2907","Sul Baiano"
"3","31","3101","Noroeste de Minas"
"3","31","3102","Norte de Minas"
"3","31","3103","Jequitinhonha"
"3","31","3104","Vale do Mucuri"
"3","31","3105","Triângulo Mineiro/Alto Paranaíba"
"3","31","3106","Central Mineira"
"3","31","3107","Metropolitana de Belo Horizonte"
"3","31","3108","Vale do Rio Doce"
"3","31","3109","Oeste de Minas"
"3","31","3110","Sul/Sudoeste de Minas"
"3","31","3111","Campo das Vertentes"
"3","31","3112","Zona da Mata"
"3","32","3201","Noroeste Espírito-santense"
"3","32","3202","Litoral Norte Espírito-santense"
"3","32","3203","Central Espírito-santense"
"3","32","3204","Sul Espírito-santense"
"3","33","3301","Noroeste Fluminense"
"3","33","3302","Norte Fluminense"
"3","33","3303","Centro Fluminense"
"3","33","3304","Baixadas"
"3","33","3305","Sul Fluminense"
"3","33","3306","Metropolitana do Rio de Janeiro"
"3","35","3501","São José do Rio Preto"
"3","35","3502","Ribeirão Preto"
"3","35","3503","Araçatuba"
"3","35","3504","Bauru"
"3","35","3505","Araraquara"
"3","35","3506","Piracicaba"
"3","35","3507","Campinas"
"3","35","3508","Presidente Prudente"
"3","35","3509","Marília"
"3","35","3510","Assis"
"3","35","3511","Itapetininga"
"3","35","3512","Macro Metropolitana Paulista"
"3","35","3513","Vale do Paraíba Paulista"
"3","35","3514","Litoral Sul Paulista"
"3","35","3515","Metropolitana de São Paulo"
"4","41","4101","Noroeste Paranaense"
"4","41","4102","Centro Ocidental Paranaense"
"4","41","4103","Norte Central Paranaense"
"4","41","4104","Norte Pioneiro Paranaense"
"4","41","4105","Centro Oriental Paranaense"
"4","41","4106","Oeste Paranaense"
"4","41","4107","Sudoeste Paranaense"
"4","41","4108","Centro-Sul Paranaense"
"4","41","4109","Sudeste Paranaense"
"4","41","4110","Metropolitana de Curitiba"
"4","42","4201","Oeste Catarinense"
"4","42","4202","Norte Catarinense"
"4","42","4203","Serrana"
"4","42","4204","Vale do Itajaí"
"4","42","4205","Grande Florianópolis"
"4","42","4206","Sul Catarinense"
"4","43","4301","Noroeste Rio-grandense"
"4","43","4302","Nordeste Rio-grandense"
"4","43","4303","Centro Ocidental Rio-grandense"
"4","43","4304","Centro Oriental Rio-grandense"
"4","43","4305","Metropolitana de Porto Alegre"
"4","43","4306","Sudoeste Rio-grandense"
"4","43","4307","Sudeste Rio-grandense"
"5","50","5001","Pantanais Sul Mato-grossense"
"5","50","5002","Centro Norte de Mato Grosso do Sul"
"5","50","5003","Leste de Mato Grosso do Sul"
"5","50","5004","Sudoeste de Mato Grosso do Sul"
"5","51","5101","Norte Mato-grossense"
"5","51","5102","Nordeste Mato-grossense"
"5","51","5103","Sudoeste Mato-grossense"
"5","51","5104","Centro-Sul Mato-grossense"
"5","51","5105","Sudeste Mato-grossense"
"5","52","5201","Noroeste Goiano"
"5","52","5202","Norte Goiano"
"5","52","5203","Centro Goiano"
"5","52","5204","Leste Goiano"
"5","52","5205","Sul Goiano"
"5","53","5301","Distrito Federal"
